peticion,ip,usuario,resultado,timestamp
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:30
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:31
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:34
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:40
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:45
homming,127.0.0.1,consola_local,exitoso,2024-10-16 15:18:48
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:19:03
reportar_estado,127.0.0.1,consola_local,exitoso,2024-10-16 15:19:15
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:28
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:30
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:31
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:39
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:44
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:20:51
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:21:00
homming,127.0.0.1,consola_local,exitoso,2024-10-16 15:21:39
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:21:44
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:21:51
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:22:40
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:22:41
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:22:44
ejecutar_automatico,127.0.0.1,consola_local,exitoso,2024-10-16 15:22:50
ejecutar_automatico,127.0.0.1,consola_local,exitoso,2024-10-16 15:23:03
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:19
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:21
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:23
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:31
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:37
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:41
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:46
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:37:50
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:38:15
mover_efector_posicion,127.0.0.1,consola_local,fallido,2024-10-16 15:38:27
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:38:31
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:17
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:19
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:21
homming,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:24
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:29
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:41:34
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:42:19
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:42:30
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:42:32
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:42:43
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:42:59
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:02
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:11
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:16
homming,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:19
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:24
mover_efector,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:31
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:43:39
ejecutar_automatico,127.0.0.1,consola_local,exitoso,2024-10-16 15:44:23
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:44:52
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:44:53
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:44:55
aprendizaje,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:07
homming,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:09
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:12
mover_efector_posicion,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:15
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:39
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:40
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:43
ejecutar_automatico,127.0.0.1,consola_local,exitoso,2024-10-16 15:45:49
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 15:46:17
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 15:46:19
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 15:46:21
ejecutar_automatico,127.0.0.1,consola_local,exitoso,2024-10-16 15:46:26
reportar_estado,127.0.0.1,consola_local,exitoso,2024-10-16 15:46:32
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 16:26:05
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 16:28:16
detener_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 16:29:03
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 16:29:04
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-16 16:30:34
homming,127.0.0.1,consola_local,exitoso,2024-10-16 16:30:47
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-16 18:41:57
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-16 18:42:02
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-17 15:37:00
detener_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-17 16:24:56
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-17 16:24:57
detener_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-17 16:25:03
iniciar_servidor_rpc,127.0.0.1,consola_local,exitoso,2024-10-17 16:25:07
conectar_robot,127.0.0.1,consola_local,exitoso,2024-10-17 16:26:02
activar_motores,127.0.0.1,consola_local,exitoso,2024-10-17 16:27:10
desactivar_motores,127.0.0.1,consola_local,exitoso,2024-10-17 16:27:20
